Year,Total Income Tax,Capital Gains Tax,NICs,VAT,Total Corporation Tax,Bank payroll tax,Petroleum Revenue Tax,Fuel duties,Inheritance Tax,Shares,Stamp Duty Land Tax,Tobacco duties,Spirits duties,Beer duties,Wines duties,Cider duties,Betting & Gaming,Air Passenger Duty,Insurance Premium Tax,Landfill Tax,Climate Change Levy
2002-03,145018.5773,2113.579616,85487.4091,84028.0327,38759.554,0,1268.677489,29329.22791,3117.397503,3361.068336,6636.057302,10665.89613,3010.129365,3886.814644,2563.840937,202.6175947,1710.993022,1080.627172,2831.349134,716.4452205,1097.843046
2003-04,154077.2055,2907.314317,94676.52741,90257.40964,36687.04004,0,1540.549924,29773.51192,3271.871933,3343.738129,6514.997387,10572.17085,3086.32648,3977.467318,2621.156189,199.9186924,1760.068488,1033.566573,2997.473727,793.1414789,1087.139556
2004-05 ,163001.7856,2922.133602,100005.6048,93510.8363,43077.78112,0,1644.180344,29852.62957,3741.662746,3476.596288,8004.494806,10372.16572,3054.026574,3970.874803,2859.388402,201.040743,1819.610801,1106.364344,3020.733202,860.5056007,978.3129151
2005-06 ,168850.1699,3807.12604,107032.5553,91180.79382,52349.86034,0,2523.065778,29333.14271,4078.706037,4336.519306,9328.835472,9960.853437,2889.76135,3849.677745,2888.509829,210.2554815,1778.410948,1132.626255,2932.313055,917.3646902,931.1314181
2006-07 ,180634.765,4683.648925,106726.0512,94602.37097,54183.58134,0,2635.316823,28841.73887,4335.126746,4594.378332,11782.4954,9965.288534,2758.828192,3756.702218,2916.580336,244.5769673,1701.032808,1187.421176,2829.755512,983.1994087,870.6940037
2007-08 ,179095.7285,6217.798427,118513.5042,95130.66351,54745.66143,0,1982.896993,29395.26762,4513.45125,4918.292719,11753.38586,9553.314439,2802.022298,3619.967307,3117.161284,259.6650824,1748.018123,2353.509883,2721.762181,1035.119442,812.0435303
2008-09,177237.2721,9069.661897,111906.1365,90603.05776,49757.23708,0,2965.081774,28432.21187,3279.262624,3699.710527,5539.747639,9493.575029,2723.670753,3611.924701,3166.065112,281.8387039,1702.58299,2150.752732,2634.729851,1101.943129,827.0348852
2009-10,161989.508,2785.153777,106796.28,78444.95746,40033.09153,0,1031.993953,29290.51526,2665.518509,3373.267341,5462.971239,9853.697407,2873.482621,3557.751634,3297.237451,347.7249397,1608.92665,2075.168772,2525.757681,941.4289364,777.0702029
2010-11,164265.359,3853.773562,103325.2235,89363.45459,45077.69958,3655.787417,1560.344863,29169.24527,2907.720846,3179.550473,6379.434658,9785.866551,2862.77264,3527.363971,3318.675872,346.743303,1640.609517,2306.271043,2568.468911,1139.758079,721.3116858
2011-12,157070.7921,4513.187613,105745.1201,102285.0442,45540.84148,-2.081248611,2114.548589,27888.73139,3020.932359,2907.50431,6373.823872,9939.002742,3006.363619,3603.68197,3492.335169,342.3653965,1699.339491,2712.907565,3060.476083,1134.280493,703.4620306
2012-13,154247.1042,3984.26875,103525.0396,102038.675,41645.60208,0,1762.33125,26958.49375,3150.28125,2266.579167,7007.727083,9822.18125,2973.74375,3475.9625,3588.58125,330.7541667,1704.5,2831.702083,3065.05625,1107.925,644.2604167
2013-14,156898,3908,107690,104718,41474,0,1118,26881,3402,3108,9273,9531,3056,3346,3713,340,2098,3013,3014,1189,1068
