Year,Total Income Tax 4,Capital Gains Tax,NICs,VAT,Total Corporation Tax 5,Bank Levy,Bank Surcharge,Bank payroll tax,Petroleum Revenue Tax,Fuel duties,IHT 7,Shares,Stamp Duty Land Tax,Annual Tax on Enveloped Dwellings,Tobacco duties,Spirits duties,Beer duties,Wines duties,Cider duties,Betting & Gaming,Air Passenger Duty,Insurance Premium Tax,Landfill Tax,Climate Change Levy8,Aggregates Levy,Customs Duties
1999-00,93910.117315022217,2122.1,56354,56779,34322,,,,853,22515,2046.9,3711.3,3183.7,,5683,1804,2813,1657,155,1514,882,1423,430,,,2043
2000-01,105177.42791404964,3235.8,60614,58622,32421,,,,1518,22630,2221.1999999999998,4476.8999999999996,3683.6,,7648,1842,2850,1814,158,1510,951,1707,461,,,2097
2001-02,107994,3034,63168,61026,32041,,,,1310,21916,2355,2852.1958306970268,4131.5541693029736,,7754,1919,2899,1982,155,1439,806,1861,502,555,,2042
2002-03,109506,1596,64553,63451,29488,,,,958,22147,2354.1,2538.0810915438933,5010.9189084561067,,8054,2273,2935,1936,153,1292,816,2138,541,829,247,1907
2003-04,117916.66160637357,2225,72457,69075,28459,,,,1179,22786,2504,2559.271663164503,4985.7283368354965,,8091,2362,3044,2006,153,1347,791,2294,607,832,339,1941
2004-05 ,127294.20485713999,2282,78098,73026,34031,,,,1284,23313,2921.9,2715.3388629999999,6251.0401310000007,,8100,2385,3101,2233,157,1421,864,2359,672,764,334,2195
2005-06 ,134916.31307816782,3041.79528376597,85522,72856,42355,,,,2016,23438,3259.1380040700005,3464.5024186299993,7453.8101540999987,,7959,2309,3076,2308,168,1421,905,2343,733,744,326,2258
2006-07 ,147711.68590149999,3830.18981478773,87274,77360,44875,,,,2155,23585,3545.1683609199995,3757.3729999999987,9634.771999999999,,8149,2256,3072,2385,200,1391,971,2314,804,712,321,2325
2007-08 ,151737.96173789899,5267.9606642964791,100409.90977620801,80599,47036,,,,1680,24905,3824,4166.5,9957.5000000000018,,8094,2374,3067,2641,220,1481,1994,2306,877,688,339,2456
2008-09,153441.74510048583,7851.8600884182806,96881.536187956284,78439,43927.000000000007,,,,2567,24615,2839.1000000000004,3203.4988122111477,4795.9933419555282,,8219,2358,3127,2741,244,1474,1862,2281,954,716,334,2659
2009-10,144880.80599822383,2491.0387034161899,95517.06060291559,70160.002999999997,36628,,,,923,26197,2383.6167413999997,3016.8023053498914,4885.7399566891709,,8813,2570,3182,2949,311,1439,1856,2259,842,695,275,2646
2010-11,153490.88132850235,3600.7675929241591,96547.68843891102,83502.304657949993,43040,,,3415.6422500300005,1458,27255.7,2717.2475478300003,2971.0914463171875,5961,,9143.9,2675.1,3296.2999999999997,3101.3,324.39999999999998,1532.7,2155.3000000000002,2400.0999999999995,1065.3,673.6,288.20000000000005,2997.4999999999995
2011-12,150938.788470595,4336.6476537199997,101616.9600580776,98291.591506640019,43130,1612,,-2.3190943499999368,2032,26799.8,2902.5727063499999,2794.4462647066121,6125.3932850984638,,9551.3000000000011,2888.8,3463.1,3355.6,328.8,1633.4050043200002,2607.3999999999996,2941.3153945399999,1089.5,675.90383433999989,289.96530683999993,2912.0000000000005
2012-13,152030.01378134257,3926.6035631499999,102036.97156755601,100572.13278862997,40482.399999999994,1594.7331818181819,,-0.18329712000000001,1737,26570.64991919,3104.8311651799995,2234.31939453,6907.1499501099997,,9681.367824070001,2931,3425.7999999999997,3536.5,326.10000000000002,1679.5310140199999,2790.7,3020.6,1091.9000000000001,635.4,265.09999999999997,2854.3999999999996
2013-14,156897.95762974303,3908.1453705981112,107690.44269174647,104717.88213739001,40327.232373230683,2199.8979822699998,,0,1118,26881.287499139999,3402.3218730699996,3107.6121233099998,9273.2827588300006,100.47001882999999,9530.5644809899986,3056.2068742900001,3346.1138182599998,3713.2019177000006,339.74324432999998,2098.47096379,3013.4979999999996,3014,1189.4000000000001,1068.4995366000001,284.59999999999997,2901.2
2014-15,163108.58690282746,5558.5017591503392,110406.41900394978,111363.16202045802,43004.607399700006,2748.3526677899999,,0,76.662813110000059,27156.201577560001,3803.5647530700003,2925.5593012999998,10738.280847960001,116.23847681000001,9547.7010527599996,3022.7207376799997,3309.92427847,3836.6946764599998,319.66671947999998,2115.9871685400003,3174.7999999999997,2964.7,1144.4000000000001,1491.1,341.49999999999994,3006.7
2015-16,168451.18142970378,7060.245349360006,113701.14468107963,115415.29211606563,44409.97017878999,3392.2403979599999,,0,-562,27622.580773769998,4649.5183613199997,3320.0801085300004,10681.69604845,178.08491197999999,9484.9841660000002,3146.8308816700005,3271.0266899799999,3972.5294160042345,295.76855418000008,2666.4604122499995,3076.6,3293.4,919,1762.6999999999998,356.19999999999993,3088.6999999999994
